Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
49.659232145033606,8.566758762583878e-7,0.9877946432208706,5.45047194460814e-7,1.0123561682206854,2.79916451379269e-7,1.0123561682206854,3.7023327796256077e-8,1.0123561682206854,5.853853648181813e-9,1,1.5076293156004955e-9,1,5.81912761026779e-10,0.9877946432208706,2.412286800997715e-10,1,1.9013837040719832e-10,1.654499600639874,1.0613039809763935e-10
59.70352865838369,9.200772436789555e-7,1.3101871429774536,5.784607573012777e-7,1.3263760357166625,3.15288412872738e-7,1.3263760357166625,4.641588833612791e-8,1.294195841449986,7.605660768804223e-9,1.3101871429774536,1.9587980548716505e-9,1.3101871429774536,7.47110797316719e-10,1.294195841449986,2.7171181727004205e-10,1.294195841449986,2.091286031720314e-10,2.115111825309699,1.126366140036341e-10
79.18932966020317,9.881708564424812e-7,1.6343058427231374,5.994842503189434e-7,1.654499600639874,3.4677811342968327e-7,1.654499600639874,5.4181388343574886e-8,1.6749428760264369,9.422371138945562e-9,1.6343058427231374,2.485128426980561e-9,1.6343058427231374,8.617881475387917e-10,1.6343058427231374,2.988492679795625e-10,1.6343058427231374,2.2194901908250936e-10,2.638355621671619,1.1673026260148632e-10
98.77946432208707,9.881708564424812e-7,2.115111825309699,6.28708905991726e-7,2.089296130854039,3.8141287482832233e-7,2.141246502828787,6.712331318936355e-8,2.115111825309699,1.153494435676667e-8,2.115111825309699,2.9707644418960325e-9,2.115111825309699,1.0425283055943445e-9,2.089296130854039,3.4064321390601613e-10,2.0637955261597116,2.4703862299317146e-10,3.3317059671961506,1.1534944356766646e-10
129.41958414499862,0.000001061303980976398,2.6709555875589848,6.438512300258062e-7,2.638355621671619,4.047950024509502e-7,2.703958364108843,7.929116634226845e-8,2.638355621671619,1.3789067060798505e-8,2.6709555875589848,3.769010871772906e-9,2.6709555875589848,1.2611745370012613e-9,2.6061535499988957,3.836889819768946e-10,2.638355621671619,2.749644107581083e-10,4.259251973796841,1.2992570750665223e-10
159.46547346709784,0.0000010740085826829663,3.372873086588689,6.67251264804332e-7,3.2910413071833693,4.347533068594911e-7,3.372873086588689,9.478599776522403e-8,3.372873086588689,1.7494198776186296e-8,3.372873086588689,4.669287829168919e-9,3.372873086588689,1.5256767650769681e-9,3.3317059671961506,4.3217427760378976e-10,3.3317059671961506,3.0242671703095196e-10,5.649369748123025,1.3464770838589032e-10
198.91460269380335,0.0000010998758573777856,4.259251973796841,6.752387610443292e-7,4.259251973796841,4.781746661299093e-7,4.365158322401658,1.1196843478982516e-7,4.365158322401658,2.167291424879452e-8,4.311880007679362,5.853853648181813e-9,4.311880007679362,1.9356271514803772e-9,4.259251973796841,4.985106244585537e-10,4.311880007679362,3.4064321390601613e-10,6.960920386406234,1.3954132497330063e-10
248.12279614243525,0.0000011673026260148703,5.649369748123025,6.997795396518555e-7,5.580417174769964,5.135636954450824e-7,5.719174311071686,1.3070104796093713e-7,5.719174311071686,2.749644107581094e-8,5.78984139094271,7.605660768804223e-9,5.78984139094271,2.485128426980561e-9,5.580417174769964,5.888786916077736e-10,5.719174311071686,3.97633718126637e-10,10.061591167507684,1.5347813444464124e-10
298.30921321987654,0.0000011673026260148703,7.401731609916563,6.915017470186979e-7,7.401731609916563,5.385997529519132e-7,7.401731609916563,1.5624223745758844e-7,7.49318865081306,3.447209677204705e-8,7.401731609916563,9.535163962300129e-9,7.49318865081306,3.0787334695491946e-9,7.401731609916563,6.873996431179536e-10,7.49318865081306,4.478811562346004e-10,13.021669447358343,1.708276393808712e-10
395.67019164833636,0.0000012097269016425165,9.938785857542516,7.081564236483726e-7,9.938785857542516,5.784607573012777e-7,10.061591167507684,1.8456522259245346e-7,9.938785857542516,4.17018228211693e-8,10.18591388054117,1.2536930389283279e-8,9.938785857542516,4.000066242555909e-9,9.938785857542516,8.415203049531093e-10,9.817479430199844,5.354046892271295e-10,14.905046433861962,1.7287257387438913e-10
493.55247413948064,0.0000012388629239937801,12.86273532589346,7.081564236483726e-7,12.86273532589346,6.066605247569745e-7,12.86273532589346,2.1544346900318912e-7,12.86273532589346,5.354046892271295e-8,12.86273532589346,1.5717462358573458e-8,13.021669447358343,5.074886767657306e-9,13.021669447358343,1.005967567690516e-9,13.021669447358343,6.102808125036257e-10,19.76969640111861,1.8788919632785814e-10
593.3805862753281,0.0000012388629239937801,14.905046433861962,7.166335852059143e-7,14.905046433861962,6.139227045624654e-7,15.089215694935884,2.2865101132844884e-7,14.905046433861962,5.959280095830807e-8,15.089215694935884,1.770361740799287e-8,15.275660582380723,5.784607573012765e-9,14.905046433861962,1.1196843478982471e-9,14.723125024327187,6.792682940581213e-10,25.27357433305918,2.0179460944952368e-10
796.770659869954,0.0000012536930389283304,20.013974095522716,7.33893556963075e-7,19.76969640111861,6.362350213961434e-7,20.013974095522716,2.6690492596465365e-7,20.013974095522716,7.382731164418872e-8,20.013974095522716,2.3555537752607366e-8,19.76969640111861,7.696706211500137e-9,20.013974095522716,1.420544295154236e-9,19.76969640111861,8.120087769254871e-10,30.014653449192746,2.1416542234835603e-10
981.7479430199844,0.000001283887976607441,24.965101341240345,7.426788112383423e-7,24.6603933723434,6.515586103639401e-7,24.965101341240345,2.9707644418960327e-7,25.27357433305918,8.617881475387935e-8,25.90200204531324,2.918208237644098e-8,24.965101341240345,9.200772436789555e-9,25.27357433305918,1.6981426128185676e-9,25.27357433305918,9.592065698685323e-10,34.78030076976791,2.1416542234835603e-10
1286.2735325893466,0.0000013148101531186566,30.385519556296543,7.515692315720249e-7,31.141055844467598,6.593582538040242e-7,30.014653449192746,3.228820691203444e-7,29.648313895243422,9.82308861816595e-8,29.648313895243422,3.286970948457449e-8,29.648313895243422,1.0868652679654103e-8,29.648313895243422,1.8901043782526202e-9,30.014653449192746,1.080417801600322e-9,39.32481305005622,2.3276895914957125e-10
1584.893192461114,0.0000013789067060798534,39.32481305005622,7.515692315720249e-7,39.32481305005622,6.752387610443292e-7,34.78030076976791,3.4267602534331656e-7,34.78030076976791,1.0933512100224668e-7,34.78030076976791,3.746652469548039e-8,35.21005201684519,1.2242082366177676e-8,34.78030076976791,2.128949572798192e-9,34.78030076976791,1.1883254558613716e-9,49.659232145033606,2.499958599088193e-10
1976.969640111862,0.0000013789067060798534,47.27882412806131,7.515692315720249e-7,49.659232145033606,6.752387610443292e-7,39.32481305005622,3.59381366380464e-7,39.32481305005622,1.174268583450931e-7,39.32481305005622,4.2706202603214577e-8,39.81071705534971,1.3954132497330119e-8,40.30262497227176,2.397976712644727e-9,42.33179328088209,1.3545122770005653e-9,61.94410750767815,2.749644107581083e-10
2466.039337234341,0.0000014121173890481365,59.70352865838369,7.605660768804239e-7,59.70352865838369,6.752387610443292e-7,44.46312674691086,3.8141287482832233e-7,44.46312674691086,1.2611745370012638e-7,50.27282997112775,5.1051714979650045e-8,50.27282997112775,1.6880689471104248e-8,49.659232145033606,2.900896938798607e-9,49.659232145033606,1.581125737912138e-9,80.16780633876793,3.0242671703095196e-10
2928.6445646252373,0.0000013954132497330148,79.18932966020317,7.696706211500136e-7,79.18932966020317,6.915017470186979e-7,49.659232145033606,3.905991250728775e-7,50.27282997112775,1.370726801109028e-7,59.70352865838369,5.959280095830807e-8,60.44123550185518,1.9940755204521182e-8,58.97482579013517,3.3461684773756492e-9,59.70352865838369,1.8238197407868116e-9,100,3.4064321390601613e-10
3435.57947899875,0.0000014121173890481365,100,7.788841536178387e-7,98.77946432208707,6.915017470186979e-7,59.70352865838369,4.14544406405742e-7,59.70352865838369,1.5439402560095435e-7,79.18932966020317,7.382731164418872e-8,79.18932966020317,2.529884971601284e-8,80.16780633876793,4.347533068594902e-9,82.16117975204095,2.341580236695482e-9,131.0187142977455,3.882820258008992e-10
3981.0717055349774,0.0000014121173890481365,129.41958414499862,8.168544942670847e-7,131.0187142977455,6.915017470186979e-7,79.18932966020317,4.6140541531263043e-7,79.18932966020317,1.8456522259245346e-7,100,8.825441369233847e-8,98.77946432208707,2.918208237644098e-8,98.77946432208707,5.2593277088596614e-9,98.77946432208707,2.7660527949179124e-9,159.46547346709784,4.3734772664684985e-10
4965.9232145033675,0.000001429021489392948,165.44996006398736,8.266328529540411e-7,159.46547346709784,6.997795396518555e-7,97.57382571758475,4.838987741971963e-7,98.77946432208707,2.078880173564103e-7,118.75903682500487,1.0059675676905201e-7,132.6376035716662,3.572494560689717e-8,118.75903682500487,6.139227045624641e-9,127.8399719463023,3.426760253433166e-9,196.4867789993466,4.92613670716883e-10
,,198.91460269380335,8.168544942670847e-7,198.91460269380335,6.997795396518555e-7,129.41958414499862,5.197114366375534e-7,129.41958414499862,2.3696107018632604e-7,159.46547346709784,1.174268583450931e-7,161.4358556826487,4.321742776037897e-8,161.4358556826487,8.16854494267083e-9,157.51914046947937,4.047950024509493e-9,245.0943688904815,5.548633588145087e-10
,,251.18864315095823,8.566758762583878e-7,248.12279614243525,7.081564236483726e-7,157.51914046947937,5.515718166623962e-7,159.46547346709784,2.637476692792077e-7,251.18864315095823,1.5624223745758844e-7,196.4867789993466,5.166284215610424e-8,201.37242498623894,1.0119707472451769e-8,196.4867789993466,4.955533761421616e-9,287.51907771574844,6.175863298586877e-10
,,298.30921321987654,8.878107788003429e-7,294.6682428420264,7.252122247218192e-7,198.91460269380335,5.784607573012777e-7,196.4867789993466,2.900896938798607e-7,294.6682428420264,1.7598596591574567e-7,236.22906626344604,6.102808125036257e-8,245.0943688904815,1.2242082366177676e-8,248.12279614243525,6.066605247569745e-9,345.67396141164437,6.956283305021405e-10
,,345.67396141164437,8.984385372349054e-7,395.67019164833636,7.166335852059143e-7,239.14795234481284,5.923928650614466e-7,239.14795234481284,3.15288412872738e-7,376.70379898390854,2.0299883244099577e-7,298.30921321987654,7.209101446349291e-8,294.6682428420264,1.4121173890481367e-8,294.6682428420264,7.338935569630735e-9,390.8408957924025,7.5605427183554e-10
,,499.65089153568397,9.310912558090753e-7,499.65089153568397,7.252122247218192e-7,294.6682428420264,6.139227045624654e-7,294.6682428420264,3.4677811342968327e-7,441.909495294318,2.2063238041764785e-7,354.26914838017547,8.120087769254871e-8,349.94516702835693,1.648368336477142e-8,345.67396141164437,8.465421343358606e-9,499.65089153568397,8.82544136923381e-10
,,593.3805862753281,9.649307000034142e-7,593.3805862753281,7.252122247218192e-7,349.94516702835693,6.362350213961434e-7,345.67396141164437,3.6803699229840616e-7,524.8074602497734,2.3696107018632604e-7,395.67019164833636,8.825441369233847e-8,405.50853544838435,1.9013837040719833e-8,390.8408957924025,9.310912558090716e-9,600.7124966182355,9.82308861816593e-10
,,787.0457896950985,9.881708564424812e-7,806.6156921766144,7.426788112383423e-7,395.67019164833636,6.515586103639401e-7,395.67019164833636,3.905991250728775e-7,593.3805862753281,2.544982231418539e-7,447.3698033564932,9.706889892723416e-8,487.528490103386,2.2729461532580187e-8,493.55247413948064,1.1398495844042462e-8,787.0457896950985,1.1883254558613716e-9
,,1018.5913880541169,0.0000010240847932799616,993.8785857542521,7.426788112383423e-7,441.909495294318,6.67251264804332e-7,493.55247413948064,4.195068127167262e-7,740.1731609916567,2.7660527949179126e-7,499.65089153568397,1.0425283055943444e-7,593.3805862753281,2.6532160134884776e-8,593.3805862753281,1.330549413137027e-8,993.8785857542521,1.420544295154236e-9
