,20,,25,,30,,35,,40,,45,,50,
w,Gp,Gpp,Gp,Gpp,Gp,Gpp,Gp,Gpp,Gp,Gpp,Gp,Gpp,Gp,Gpp
0.1,1.71E+03,1.56E+02,1.81E+03,1.39E+02,1.92E+03,1.31E+02,1.97E+03,1.14E+02,2.01E+03,1.11E+02,2.07E+03,1.06E+02,2.05E+03,9.32E+01
0.2,1.77E+03,1.46E+02,1.87E+03,1.33E+02,1.98E+03,1.25E+02,2.01E+03,1.12E+02,2.05E+03,1.06E+02,2.10E+03,1.00E+02,2.05E+03,8.95E+01
0.3,1.80E+03,1.42E+02,1.91E+03,1.29E+02,2.02E+03,1.23E+02,2.01E+03,1.12E+02,2.08E+03,1.03E+02,2.10E+03,9.95E+01,2.07E+03,8.99E+01
0.4,1.82E+03,1.39E+02,1.92E+03,1.26E+02,2.05E+03,1.21E+02,2.04E+03,1.13E+02,2.09E+03,1.09E+02,2.11E+03,9.91E+01,2.09E+03,8.85E+01
0.6,1.85E+03,1.36E+02,1.94E+03,1.23E+02,2.07E+03,1.18E+02,2.04E+03,1.06E+02,2.12E+03,1.02E+02,2.12E+03,9.83E+01,2.16E+03,8.81E+01
0.8,1.87E+03,1.34E+02,1.96E+03,1.20E+02,2.08E+03,1.16E+02,2.09E+03,1.06E+02,2.13E+03,1.01E+02,2.16E+03,9.42E+01,2.15E+03,8.66E+01
1,1.89E+03,1.33E+02,1.97E+03,1.19E+02,2.09E+03,1.15E+02,2.06E+03,1.03E+02,2.15E+03,9.97E+01,2.17E+03,9.31E+01,2.18E+03,9.28E+01
2,1.94E+03,1.28E+02,2.00E+03,1.21E+02,2.13E+03,1.12E+02,2.09E+03,9.97E+01,2.18E+03,9.68E+01,2.21E+03,9.19E+01,2.18E+03,8.49E+01
2.5,1.95E+03,1.27E+02,2.03E+03,1.16E+02,2.14E+03,1.12E+02,2.11E+03,9.95E+01,2.16E+03,9.32E+01,2.21E+03,9.40E+01,2.19E+03,8.47E+01
3,1.97E+03,1.27E+02,2.04E+03,1.16E+02,2.15E+03,1.11E+02,2.12E+03,9.88E+01,2.17E+03,9.99E+01,2.23E+03,9.14E+01,2.20E+03,8.45E+01
4,1.98E+03,1.26E+02,2.06E+03,1.14E+02,2.16E+03,1.10E+02,2.19E+03,9.93E+01,2.21E+03,9.89E+01,2.22E+03,9.18E+01,2.20E+03,8.42E+01
5,2.00E+03,1.25E+02,2.07E+03,1.14E+02,2.17E+03,1.10E+02,2.18E+03,1.02E+02,2.18E+03,9.41E+01,2.25E+03,9.19E+01,2.21E+03,8.37E+01
6,2.01E+03,1.24E+02,2.08E+03,1.13E+02,2.18E+03,1.11E+02,2.18E+03,1.01E+02,2.23E+03,9.70E+01,2.25E+03,9.29E+01,2.22E+03,8.20E+01
7,2.02E+03,1.23E+02,2.09E+03,1.15E+02,2.15E+03,1.05E+02,2.15E+03,9.63E+01,2.19E+03,9.47E+01,2.23E+03,8.92E+01,2.22E+03,7.55E+01
8,2.01E+03,1.19E+02,2.09E+03,1.12E+02,2.18E+03,1.26E+02,2.16E+03,9.57E+01,2.25E+03,9.30E+01,2.25E+03,1.08E+02,2.21E+03,5.44E+01
10,2.05E+03,1.24E+02,2.10E+03,1.14E+02,2.20E+03,1.11E+02,2.17E+03,9.57E+01,2.19E+03,9.57E+01,2.27E+03,9.13E+01,2.23E+03,8.49E+01
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
