,25,,27.5,,30,,32.5,
w,Gp,Gpp,Gp,Gpp,Gp,Gpp,Gp,Gpp
0.1,5.432427103,7.552702804,12.13395652,14.10515652,44.2157,45.0045,209.1229201,117.3400924
0.2,8.461014953,11.2308972,19.44331304,19.53188696,65.0891,58.8078,268.626161,130.5444589
0.3,11.30306542,13.85085047,23.56343478,24.15475652,80.0825,69.6405,303.4088309,138.1058075
0.4,13.50656075,15.97323364,27.69350435,27.92833043,93.1437,77.8907,330.3292224,143.4626699
0.6,16.93023364,19.67704673,34.44071304,33.45023478,114.387,88.2521,366.5737738,147.6290321
0.8,20.68452336,21.80395327,40.39075652,37.82086957,129.072,98.598,395.1893257,150.7192007
1,23.06823364,24.13338318,44.72370435,40.94190435,142.146,104.275,421.1571615,153.0745405
2,34.39854206,33.58413084,63.22302609,54.96135652,196.597,131.707,488.801838,159.125019
2.5,38.32369159,37.0563271,70.58604348,60.39717391,215.086,137.595,510.997553,159.9780424
3,41.65833645,40.23347664,78.16093043,66.07738261,233.518,144.654,527.0572539,159.4974878
4,47.95270093,45.12385047,89.56362609,72.36689565,259.189,152.846,555.2894508,160.1911039
5,54.78914953,50.10119626,98.82591304,79.64,281.806,161.086,578.3879554,160.9850299
6,59.25391589,54.19628037,108.6589565,84.10093043,301.911,166.777,599.3986134,161.453143
7,64.86062617,57.57317757,116.3331304,89.52833043,319.541,171.646,613.3168135,161.0277977
8,67.78847664,62.07896262,124.4903478,92.66868696,329.767,175.034,642.0995487,168.3784176
10,77.24117757,66.55524299,138.2116522,101.0833043,362.797,183.088,648.373975,160.9492605
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
