,20,,22.5,,25,,27.5,,30,
w,Gp,Gpp,Gp,Gpp,Gp,Gpp,Gp,Gpp,Gp,Gpp
0.1,,,810.62,174.34,1048.29,167.41,1215.68,166.42,1304.07,154.24
0.2,419.30,168.01,871.19,171.46,1105.99,160.24,1285.61,163.67,1355.03,150.91
0.3,461.69,173.03,908.52,170.46,1140.51,160.56,1325.80,164.07,1383.71,149.52
0.4,488.33,176.96,935.80,171.06,1170.43,159.05,1357.60,162.40,1405.58,146.20
0.6,525.47,178.30,971.48,168.72,1206.77,158.08,1385.42,160.00,1421.87,145.74
0.8,552.40,180.47,995.23,167.47,1232.46,157.79,1403.32,157.87,1443.68,144.58
1,571.39,178.18,1014.51,167.06,1253.86,158.83,1415.04,157.45,1457.70,143.82
2,648.31,183.66,1069.67,163.52,1306.62,157.69,1466.78,154.25,1504.80,142.20
2.5,680.19,186.65,1088.09,162.47,1325.45,154.32,1481.01,153.45,1518.67,141.94
3,697.73,186.59,1103.83,162.23,1338.43,153.61,1491.80,152.84,1530.14,141.78
4,728.57,186.36,1128.15,160.96,1359.26,152.98,1513.68,152.62,1550.95,142.24
5,748.71,185.54,1147.41,160.69,1378.34,152.78,1527.84,151.99,1564.43,141.91
6,779.60,188.59,1165.63,160.75,1391.35,152.12,1539.23,151.37,1574.89,141.13
7,793.15,187.75,1176.61,159.36,1401.22,150.68,1548.76,149.69,1579.47,139.85
8,824.32,195.07,1171.27,155.24,1397.39,147.26,1557.48,143.90,1565.42,136.64
10,831.88,188.81,1209.47,160.49,1416.56,149.75,1559.60,149.70,1604.92,140.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
